Services Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
NOTE: Final combined numbers are from A58:R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricing for each individual service,Basic,,,Enthusiast,,,Luxury,,,,,,,,,,,,,,,,,,,,,,,,,
,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,,,,,,,,,,,,,,,,,,,,,,,
Luxury Labor Margin,284025,218699.25,153089.475,150902.4825,181082.979,217299.5748,260759.4898,,,Luxury Labor Margin,151480,119290.5,131219.55,150902.4825,181082.979,217299.5748,260759.4898,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury Customers,37.5,28.875,20.2125,19.92375,23.9085,28.6902,34.42824,,,Luxury Customers,20,15.75,17.325,19.92375,23.9085,28.6902,34.42824,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financials for One Average Acquired Location,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,Financials for One Average Grown Location,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,,,,,,,,,,,,,
Hardware Revenue,8906456.689,7033046.151,5315951.328,5481390.332,6577668.398,7893202.077,9471842.493,,,Hardware Revenue,5133619.503,4230933.791,4654027.171,5352131.246,6422557.495,7707068.994,9248482.793,,,,,,,,,,,,,,,
Hardware COGS,7005141.188,5533497.617,4082756.685,4214894.726,5057873.672,6069448.406,7283338.087,,,Hardware COGS,4136931.222,3409053.72,3749959.092,4312452.956,5174943.547,6209932.257,7451918.708,,,,,,,,,,,,,,,
Hardware Margin,1901315.501,1499548.534,1233194.643,1266495.605,1519794.726,1823753.671,2188504.406,,,Hardware Margin,996688.2801,821880.0713,904068.0785,1039678.29,1247613.948,1497136.738,1796564.086,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Hours,9380.855,8359.85325,7556.789625,8960.062361,10752.07483,12902.4898,15482.98776,,,Labor Hours,7455.31,7083.05325,7791.358575,8960.062361,10752.07483,12902.4898,15482.98776,,,,,,,,,,,,,,,
Labor Revenue,1172606.875,1044981.656,944598.7031,1120007.795,1344009.354,1612811.225,1935373.47,,,Labor Revenue,931913.75,885381.6563,973919.8219,1120007.795,1344009.354,1612811.225,1935373.47,,,,,,,,,,,,,,,
Labor Internal COGS,844276.95,752386.7925,680111.0663,806405.6125,967686.735,1161224.082,1393468.898,,,Labor Internal COGS,670977.9,637474.7925,701222.2718,806405.6125,967686.735,1161224.082,1393468.898,,,,,,,,,,,,,,,
Labor Margin,328329.925,292594.8638,264487.6369,313602.1826,376322.6192,451587.143,541904.5716,,,Labor Margin,260935.85,247906.8638,272697.5501,313602.1826,376322.6192,451587.143,541904.5716,,,,,,,,,,,,,,,
